Process: Login_success%3A+admin%40dse.com.bd, User ID: 1, Session ID: , Time: 2022-09-25 11:17:11
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 12:05:49
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 12:06:29
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 12:07:15
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 12:08:14
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 12:08:45
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 12:10:06
Process: Login_success%3A+admin%40dse.com.bd, User ID: 1, Session ID: , Time: 2022-09-25 03:03:31
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:14:11
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:14:37
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:15:24
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:16:02
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:16:08
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:16:11
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:18:40
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-25 03:18:49
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:18:58
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:20:21
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:20:30
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:21:09
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:21:12
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:39:37
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:40:46
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:40:54
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:41:11
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 03:41:26
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 04:18:04
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 05:37:35
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 06:22:33
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 06:24:16
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 06:24:32
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 06:24:40
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 06:25:25
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 06:25:55
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 06:25:59
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 06:26:47
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-25 06:26:51
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-25 06:27:05
