Process: Login_success%3A+admin%40dhakabank.com.bd, User ID: 1, Session ID: , Time: 2022-09-11 10:04:40
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:05:09
Process: Edit_receivable, User ID: 1, Session ID: , Time: 2022-09-11 10:05:30
Process: Edit_receivable, User ID: 1, Session ID: , Time: 2022-09-11 10:05:40
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:06:55
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:07:12
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-11 10:07:32
Process: Viewed_accounts_journal, User ID: 1, Session ID: , Time: 2022-09-11 10:07:55
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:08:07
Process: Edit_receivable, User ID: 1, Session ID: , Time: 2022-09-11 10:08:22
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:14:34
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:15:12
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:15:25
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:16:36
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:16:51
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:18:32
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:24:05
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:24:18
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:24:21
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:24:36
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:24:38
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:24:39
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:25:10
Process: Delete_receivable, User ID: 1, Session ID: , Time: 2022-09-11 10:25:15
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:25:21
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:34:11
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 10:34:13
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:02:03
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:02:06
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:02:07
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:09:48
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:10:40
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:11:58
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:13:11
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:13:24
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:13:29
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:13:44
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:14:26
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:14:55
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:15:06
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:16:40
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-11 11:24:14
