Process: Login_success%3A+admin%40dhakabank.com.bd, User ID: 1, Session ID: , Time: 2022-09-07 03:20:43
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 03:20:48
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 03:22:30
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:15:09
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:16:33
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:22:26
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:22:44
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:23:43
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:24:04
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:24:16
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:24:18
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:24:21
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:25:01
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:25:11
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:25:48
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:25:59
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:00
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:02
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:04
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:07
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:10
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:13
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:35
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:38
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:44
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:49
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:52
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:26:59
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:27:00
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:27:02
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:27:02
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:27:03
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:27:10
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:28:34
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:32:21
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:34:40
Process: Edit_receivable, User ID: 1, Session ID: , Time: 2022-09-07 04:36:14
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:36:19
Process: Edit_receivable, User ID: 1, Session ID: , Time: 2022-09-07 04:36:21
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:36:28
Process: Edit_receivable, User ID: 1, Session ID: , Time: 2022-09-07 04:36:30
Process: Edit_receivable, User ID: 1, Session ID: , Time: 2022-09-07 04:39:32
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:42:01
Process: Edit_receivable, User ID: 1, Session ID: , Time: 2022-09-07 04:42:02
Process: Edit_receivable, User ID: 1, Session ID: , Time: 2022-09-07 04:42:07
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-07 04:42:18
