Process: Login_success%3A+admin%40dhakabank.com.bd, User ID: 1, Session ID: , Time: 2022-09-08 12:37:13
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-08 12:37:17
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:05:57
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:06:08
Process: Edit_vendor, User ID: 1, Session ID: , Time: 2022-09-08 03:06:10
Process: Created_vendor, User ID: 1, Session ID: , Time: 2022-09-08 03:07:32
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:07:36
Process: Edit_vendor, User ID: 1, Session ID: , Time: 2022-09-08 03:07:40
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:07:46
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:08:46
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:08:55
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:09:16
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:09:21
Process: Inactive_vendor, User ID: 1, Session ID: , Time: 2022-09-08 03:09:28
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:09:30
Process: Inactive_vendor, User ID: 1, Session ID: , Time: 2022-09-08 03:09:36
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:09:38
Process: Edit_vendor, User ID: 1, Session ID: , Time: 2022-09-08 03:09:40
Process: Vendor_updated+-+3, User ID: 1, Session ID: , Time: 2022-09-08 03:09:42
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-08 03:09:44
Process: Edit_vendor, User ID: 1, Session ID: , Time: 2022-09-08 03:09:46
Process: Edit_vendor, User ID: 1, Session ID: , Time: 2022-09-08 03:10:07
Process: Edit_vendor, User ID: 1, Session ID: , Time: 2022-09-08 03:10:10
