Process: Login_success%3A+admin%40dhakabank.com.bd, User ID: 1, Session ID: , Time: 2022-09-14 10:27:04
Process: Login_success%3A+admin%40dhakabank.com.bd, User ID: 1, Session ID: , Time: 2022-09-14 11:12:43
Process: Signed_out, User ID: 1, Session ID: , Time: 2022-09-14 11:40:05
Process: Login_success%3A+admin%40dse.com.bd, User ID: 1, Session ID: , Time: 2022-09-14 11:46:40
Process: Signed_out, User ID: 1, Session ID: , Time: 2022-09-14 11:46:57
Process: Login_success%3A+admin%40dse.com.bd, User ID: 1, Session ID: , Time: 2022-09-14 11:47:01
Process: Viewed_user_list, User ID: 1, Session ID: , Time: 2022-09-14 11:47:06
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-14 11:55:42
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-14 11:55:50
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-14 12:08:56
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-14 12:13:15
Process: Viewed_accounts_journal, User ID: 1, Session ID: , Time: 2022-09-14 12:16:28
Process: Viewed_consolidate_summary_by_year, User ID: 1, Session ID: , Time: 2022-09-14 12:16:31
Process: Viewed_consolidate_summary, User ID: 1, Session ID: , Time: 2022-09-14 12:16:33
Process: Viewed_consolidate_summary_by_year, User ID: 1, Session ID: , Time: 2022-09-14 12:16:35
Process: Viewed_region_wise_rent_info, User ID: 1, Session ID: , Time: 2022-09-14 12:16:37
Process: Viewed_accounts_journal, User ID: 1, Session ID: , Time: 2022-09-14 12:16:45
Process: Viewed_consolidate_summary, User ID: 1, Session ID: , Time: 2022-09-14 12:16:47
Process: Viewed_consolidate_summary_by_year, User ID: 1, Session ID: , Time: 2022-09-14 12:16:51
Process: Viewed_region_wise_rent_info, User ID: 1, Session ID: , Time: 2022-09-14 12:16:53
Process: Login_success%3A+admin%40dse.com.bd, User ID: 1, Session ID: , Time: 2022-09-14 01:02:09
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-14 01:02:34
Process: Created_option, User ID: 1, Session ID: , Time: 2022-09-14 01:03:31
Process: Created_option, User ID: 1, Session ID: , Time: 2022-09-14 01:12:47
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-14 01:12:51
Process: Edit_user, User ID: 1, Session ID: , Time: 2022-09-14 01:12:58
Process: Option_updated+-+Test+Branch, User ID: 1, Session ID: , Time: 2022-09-14 01:13:01
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-14 01:13:02
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-14 01:13:08
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-14 01:13:14
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-14 01:13:20
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 01:13:29
Process: Created_lease, User ID: 1, Session ID: , Time: 2022-09-14 01:33:41
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 01:33:47
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 01:34:39
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 01:57:27
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 02:48:08
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 02:48:14
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 02:48:18
Process: Created_lease, User ID: 1, Session ID: , Time: 2022-09-14 02:50:55
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 02:50:59
Process: Viewed_vendor_list, User ID: 1, Session ID: , Time: 2022-09-14 02:56:10
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-14 02:56:20
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 02:56:29
Process: Created_lease, User ID: 1, Session ID: , Time: 2022-09-14 03:11:51
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 03:13:10
Process: Edit_lease+key%3Ab3c9PThlZDM3MmUyMDFjY2M1MWVkOTUxODZkOTEwOTg1NjcyVGpjX2JNZjFhYTQxM2U2YzFhNGI1ZmFmN2E4MTcxZjA0NzIwMTkyMDIyMWEzMDFjMDJkYWUwMzU0ZjgxOWFmMmZm, User ID: 1, Session ID: , Time: 2022-09-14 03:13:14
Process: Edit_lease+key%3AUVE9PTYyMTQ2ZGM2Y2I1ZTY5MTdlNTdlNWY4OGQzZWE4NmRkOFBMQTVxSEN1ZjA0ZDRiNTk3ODVhODllZDQ3ZDQwNWQ1YWRhOGVhODA3MjhhZTZkNzBkNGI4MjI2ZTkwYTk5NGVj, User ID: 1, Session ID: , Time: 2022-09-14 03:13:24
Process: Configuration_updated+-+2, User ID: 1, Session ID: , Time: 2022-09-14 03:14:12
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 03:14:17
Process: Edit_lease+key%3ANHc9PTcwN2ZmZTJjNTYwNDY0NTM0MWUxMjI2NTY2YTY4YzE4JUh2VExjTyFvdDMxYTYwY2U5YWI3NmYxMWRlZWQwODRkNWEwMTUyNDQ0ZGFkZGY4MTM1MWViYWUwNjk5ODFjOWUx, User ID: 1, Session ID: , Time: 2022-09-14 03:14:21
Process: Configuration_updated+-+2, User ID: 1, Session ID: , Time: 2022-09-14 03:14:30
Process: Viewed_lease_list, User ID: 1, Session ID: , Time: 2022-09-14 03:14:46
Process: Viewed_option_list, User ID: 1, Session ID: , Time: 2022-09-14 03:29:50
